country,designation,points,price,province,variety,winery,fill,
US,Beckstoffer To Kalon Vineyard,94,235,California,Cabernet,Paul Hobbs,#91C5AA,
US,Hillside Select,94,230,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,94,230,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,97,225,California,Cabernet,Shafer,#91C5AA,
US,Backus,97,225,California,Cabernet,Joseph Phelps,#91C5AA,
US,Hillside Select,97,225,California,Cabernet,Shafer,#91C5AA,
US,St. Eden,96,225,California,Cabernet,BOND,#91C5AA,
US,Cariad,95,225,California,Bordeaux,Colgin,#91C5AA,
US,melbury,95,225,California,Cabernet,BOND,#91C5AA,
US,Vecina,95,225,California,Cabernet,BOND,#91C5AA,
US,H.B. Vineyard,95,225,California,Cabernet,Peju,#91C5AA,
US,Herb Lamb Vineyard,95,225,California,Cabernet,Colgin,#91C5AA,
US,Insignia,94,225,California,Bordeaux,Joseph Phelps,#91C5AA,
US,Gravelly Meadow,94,225,California,Cabernet,Diamond Creek,#91C5AA,
US,Red Rock Terrace,94,225,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,94,225,California,Cabernet,Diamond Creek,#91C5AA,
US,Martha's Vineyard,94,225,California,Cabernet,Heitz,#91C5AA,
US,Sage Mountain Vineyard Proprietary,93,225,California,Bordeaux,Continuum,#91C5AA,
US,Volcanic Hill,93,225,California,Cabernet,Diamond Creek,#91C5AA,
US,Patriarch Winston Hill Vineyard,93,225,California,Cabernet,Frank Family,#91C5AA,
US,Winston Hill Vineyard Patriarch,93,225,California,Cabernet,Frank Family,#91C5AA,
US,Darius II,92,225,California,Cabernet,Darioush,#91C5AA,
US,No. 1,92,225,California,Cabernet,JCB,#91C5AA,
US,Family Reserve,92,225,California,Cabernet,Yao Family Wines,#91C5AA,
US,Red Rock Terrace,91,225,California,Cabernet,Diamond Creek,#91C5AA,
US,Patriarch Winston Hill Vineyard,91,225,California,Cabernet,Frank Family,#91C5AA,
US,Fortitude,90,225,California,Cabernet,Provenance Vineyards,#91C5AA,
US,Cask 23,88,225,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Pritchard Hill,94,220,California,Cabernet,Chappellet,#91C5AA,
US,Blueline Estate 36-24-36,93,220,California,Bordeaux,Hourglass,#91C5AA,
US,Estate Bottled,94,219,California,Bordeaux,Dominus,#91C5AA,
US,Hillside Select,100,215,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,92,215,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,92,215,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,87,215,California,Cabernet,Shafer,#91C5AA,
US,St. Eden,96,210,California,Bordeaux,BOND,#91C5AA,
US,Vecina,96,210,California,Cabernet,BOND,#91C5AA,
US,melbury,95,210,California,Cabernet,BOND,#91C5AA,
US,St. Eden,95,210,California,Cabernet,BOND,#91C5AA,
US,melbury,94,210,California,Bordeaux,BOND,#91C5AA,
US,Rubicon,94,210,California,Cabernet,Inglenook,#91C5AA,
US,Rubicon,94,210,California,Cabernet,Inglenook,#91C5AA,
US,Cask 23 Estate,94,210,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Cask 23 Estate,94,210,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,ERA,93,210,California,Bordeaux,Alpha Omega,#91C5AA,
US,Vecina,92,210,California,Bordeaux,BOND,#91C5AA,
US,Vecina,92,210,California,Bordeaux,BOND,#91C5AA,
US,Pluribus,91,210,California,Bordeaux,BOND,#91C5AA,
US,Reserve,90,210,California,Cabernet,ZD,#91C5AA,
US,Insignia,97,200,California,Bordeaux,Joseph Phelps,#91C5AA,
US,Hillside Select,96,200,California,Cabernet,Shafer,#91C5AA,
US,Hillside Select,96,200,California,Cabernet,Shafer,#91C5AA,
US,Insignia Estate Grown,96,200,California,Red Blend,Joseph Phelps,#91C5AA,
US,Insignia Estate Grown,96,200,California,Red Blend,Joseph Phelps,#91C5AA,
US,J. Schram Late Disgorged 150th Anniversary Release,96,200,California,Sparkling Blend,Schramsberg,#91C5AA,
US,Red Rock Terrace,95,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Exzellenz Sacrashe Vineyard,95,200,California,Cabernet,Hall,#91C5AA,
US,Jamie,95,200,California,Cabernet,J. Davies,#91C5AA,
US,No. 10,95,200,California,Cabernet,JCB,#91C5AA,
US,Pedregal Vineyard,95,200,California,Cabernet,Ramey,#91C5AA,
US,Backus,95,200,California,Cabernet,Joseph Phelps,#91C5AA,
US,Insignia,95,200,California,Red Blend,Joseph Phelps,#91C5AA,
US,Insignia,95,200,California,Red Blend,Joseph Phelps,#91C5AA,
US,Single Berry Select,95,200,Washington,Riesling,Chateau Ste. Michelle & Dr. Loosen,#91C5AA,
US,Insignia,94,200,California,Bordeaux,Joseph Phelps,#91C5AA,
US,Fortieth Anniversary Volcanic Hill,94,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Gravelly Meadow,94,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,94,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,94,200,California,Cabernet,Diamond Creek,#91C5AA,
US,M by Michael Mondavi,94,200,California,Cabernet,Michael Mondavi Family Estate,#91C5AA,
US,Red Wine,94,200,California,Red Blend,Amuse Bouche,#91C5AA,
US,Insignia,93,200,California,Bordeaux,Joseph Phelps,#91C5AA,
US,Profile 30th Anniversary,93,200,California,Bordeaux,Merryvale,#91C5AA,
US,Insignia,93,200,California,Bordeaux,Joseph Phelps,#91C5AA,
US,Red Rock Terrace,93,200,California,Cabernet,Diamond Creek,#91C5AA,
US,No. 1,93,200,California,Cabernet,JCB,#91C5AA,
US,M by Michael Mondavi,93,200,California,Cabernet,Michael Mondavi Family Estate,#91C5AA,
US,Red Rock Terrace,93,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Estate Grown Cave Fermented Reserve,93,200,California,Merlot,Jarvis,#91C5AA,
US,Fortieth Anniversary Gravelly Meadow,91,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Gravelly Meadow,91,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Estate Grown Audentia,91,200,California,Cabernet,Stags' Leap Winery,#91C5AA,
US,Gravelly meadow,91,200,California,Cabernet,Diamond Creek,#91C5AA,
US,Alder Springs Vineyard,91,200,California,Tannat,Y Rousseau,#91C5AA,
US,No 10,90,200,California,Cabernet,JCB,#91C5AA,
US,No. 1,90,200,California,Cabernet,JCB,#91C5AA,
